rotationRate.x,rotationRate.y,userAcceleration.y,userAcceleration.z,act,id
-0.411322,-0.080847,-0.116898,-0.0475579999999999,4.0,15.0
-0.5139859999999999,-0.1602819999999999,-0.142645,-0.039636,4.0,15.0
-0.569736,-0.243089,-0.148837,-0.046354,4.0,15.0
-0.6189979999999999,-0.304622,-0.047373,-0.0876639999999999,4.0,15.0
-0.646861,-0.295087,0.057964,-0.095799,4.0,15.0
-0.5709989999999999,-0.189149,0.197988,-0.1896779999999999,4.0,15.0
-0.422533,0.023748,0.258748,-0.16039,4.0,15.0
2.1945650000000003,4.356938,0.247148,0.25439,1.0,11.0
-0.2872619999999999,0.064457,0.237111,-0.139092,4.0,15.0
-0.167291,0.013649,0.274146,-0.096569,4.0,15.0
-0.095382,-0.156932,0.1766309999999999,-0.027286,4.0,15.0
-0.071249,-0.537326,-0.1156089999999999,0.026892,4.0,15.0
-0.181869,-0.5833189999999999,-0.198979,0.025002,4.0,15.0
-0.323766,-0.484154,-0.188326,0.0050799999999999,4.0,15.0
-0.445714,-0.343966,-0.126069,0.01351,4.0,15.0
-0.559502,-0.3028139999999999,-0.058639,0.031356,4.0,15.0
-0.61565,-0.358388,-0.009855,0.073944,4.0,15.0
-0.653874,-0.365519,0.021691,0.0889529999999999,4.0,15.0
-0.596727,-0.331228,0.039016,0.04391,4.0,15.0
-0.472688,-0.297457,0.043495,0.010602,4.0,15.0
-0.367987,-0.253128,0.038041,-0.001268,4.0,15.0
-0.306003,-0.217176,0.0323829999999999,0.006297,4.0,15.0
-0.00484,0.004999,-0.132595,0.119497,5.0,18.0
0.0196159999999999,-0.0036479999999999,-0.134269,0.128754,5.0,18.0
-2.484635,0.0808779999999999,-1.212091,0.5839439999999999,1.0,11.0
0.03128,-0.0111799999999999,-0.13463,0.128969,5.0,18.0
-3.63415,0.98502,1.223001,1.196538,1.0,11.0
-0.279859,-0.066015,0.005287,0.007461,4.0,15.0
0.035485,-0.016555,-0.133893,0.130129,5.0,18.0
0.038671,-0.014457,-0.12734,0.124149,5.0,18.0
-0.19876,-0.3674989999999999,0.125494,0.109866,4.0,15.0
-0.0563809999999999,0.08545,0.1017909999999999,0.048061,5.0,8.0
0.093948,-0.188793,0.012165,-0.015715,5.0,8.0
0.031199,-0.00913,-0.1280089999999999,0.1244089999999999,5.0,18.0
0.023745,-0.000603,-0.123017,0.126177,5.0,18.0
-0.139981,0.285477,-0.19837,-0.06095,5.0,8.0
-0.276108,0.371218,0.026739,0.0614279999999999,5.0,8.0
0.016363,0.019659,-0.1213,0.130249,5.0,18.0
0.055152,0.516054,0.020386,0.013829,4.0,15.0
0.1077109999999999,0.551135,0.018441,0.008176,4.0,15.0
0.140889,0.548992,0.0118959999999999,0.00485,4.0,15.0
0.159021,0.525582,0.011198,0.0047009999999999,4.0,15.0
0.171751,0.491521,0.009442,0.003432,4.0,15.0
0.193055,0.4723189999999999,0.006954,0.00828,4.0,15.0
-0.110023,0.292876,0.101186,0.032888,5.0,8.0
-0.001818,0.028219,-0.117433,0.130183,5.0,18.0
-0.033857,-0.000346,-0.118663,0.121788,5.0,18.0
-0.039168,-0.005611,-0.119959,0.1186359999999999,5.0,18.0
0.278429,0.196298,-0.0044659999999999,-0.0315089999999999,4.0,15.0
-2.258181,0.308566,0.982252,-1.151092,1.0,11.0
-0.694652,0.1828789999999999,1.86415,-1.261355,1.0,11.0
-0.61857,0.346091,-1.7776439999999998,0.90867,1.0,11.0
-3.001241,1.013707,-1.463517,0.736237,1.0,11.0
0.091083,-0.07141,-0.095144,-0.015778,5.0,19.0
0.183264,-0.093544,0.052785,-0.0268899999999999,5.0,19.0
0.236511,-0.10867,0.019177,-0.010744,5.0,19.0
0.298451,-0.134294,-0.0284069999999999,-0.0267959999999999,5.0,19.0
0.3134349999999999,-0.195842,-0.0233139999999999,-0.009353,5.0,19.0
0.32531,-0.173479,-0.004184,0.031895,5.0,19.0
0.317034,-0.114864,-0.000889,0.008582,5.0,19.0
0.303025,-0.148891,0.004517,0.009655,5.0,19.0
0.308115,-0.203238,-0.002338,0.018518,5.0,19.0
0.277358,-0.148857,-0.0173229999999999,0.016751,5.0,19.0
0.235005,-0.06142,-0.026777,0.001572,5.0,19.0
0.837534,-1.13742,1.266047,0.467475,1.0,2.0
0.18404,0.014308,-0.022317,-0.0152819999999999,5.0,19.0
0.1955599999999999,0.010892,-0.021269,-0.023744,5.0,19.0
0.161974,-0.090244,-0.012846,-0.033524,5.0,19.0
0.0396,-0.0262959999999999,-0.134863,0.138964,5.0,18.0
0.023574,-0.011408,-0.1265069999999999,0.133198,5.0,18.0
0.26546,-0.023762,0.0001,-0.0649049999999999,5.0,19.0
0.324554,0.0061119999999999,-0.043172,-0.01231,5.0,19.0
0.287061,-0.016175,-0.040155,0.001004,5.0,19.0
1.465492,-3.552249,-0.604876,0.6089220000000001,1.0,11.0
0.251826,-0.010773,-0.026536,-0.010723,5.0,19.0
0.225236,0.022284,-0.014166,-0.012612,5.0,19.0
0.244453,0.031779,-0.0117939999999999,0.00199,5.0,19.0
0.259265,0.005091,-0.030114,0.014662,5.0,19.0
0.218599,-0.009733,-0.0311459999999999,0.015056,5.0,19.0
0.366296,-2.294506,0.782496,-0.895224,1.0,11.0
-0.897908,-0.0761049999999999,-1.110082,1.165725,1.0,11.0
-0.069766,0.113218,1.6809889999999998,0.046332,0.0,22.0
-1.935995,0.890452,-1.119071,0.908499,1.0,11.0
-0.079675,-0.191916,0.006567,-0.023349,5.0,19.0
-0.188523,-3.913935,1.329039,-0.074314,1.0,11.0
0.848168,-4.743475,0.5681970000000001,-0.033894,1.0,11.0
-0.0836789999999999,-0.187423,-0.025207,-0.014802,5.0,19.0
-0.089956,-0.222303,-0.0294129999999999,0.041494,5.0,19.0
-0.033345,-0.294589,-0.033867,0.0269769999999999,5.0,19.0
-0.066768,-0.412556,0.0052179999999999,-0.004294,5.0,19.0
0.0194039999999999,-0.483101,-0.066988,0.020218,5.0,19.0
0.283827,-0.543583,0.002327,-0.062145,5.0,19.0
0.324291,-0.5342439999999999,-0.003543,-0.006397,5.0,19.0
0.068199,-0.349945,-0.086275,0.003195,5.0,19.0
-0.2098719999999999,0.054439,-0.033154,-0.007056,5.0,19.0
-0.4977899999999999,0.077846,-0.100499,-0.004787,5.0,19.0
-0.760382,-0.077332,-0.173817,-0.02336,5.0,19.0
-0.751977,0.197104,0.078455,-0.26563,5.0,19.0
-0.663011,0.285229,0.0573309999999999,-0.276561,5.0,19.0
-0.812901,-0.075352,0.006275,0.047822,5.0,19.0
-0.8831120000000001,0.03754,0.051144,-0.115186,5.0,19.0
-0.710825,0.131833,0.006478,-0.105405,5.0,19.0
-0.755509,0.131039,0.094171,-0.01726,5.0,19.0
0.8276389999999999,-0.081671,1.35096,0.571897,1.0,2.0
0.043616,0.026167,-0.138492,0.137786,5.0,18.0
0.0382329999999999,0.021899,-0.142257,0.142096,5.0,18.0
-0.153992,-0.740795,1.148067,-1.0371290000000002,1.0,11.0
0.998579,-0.377177,1.244536,-1.091638,1.0,11.0
0.0307029999999999,0.0080769999999999,-0.14392,0.141002,5.0,18.0
1.174154,1.211155,1.458595,-0.279432,1.0,11.0
2.126663,0.814126,-0.8839600000000001,1.343789,1.0,11.0
-0.575709,-0.7258020000000001,-1.806077,1.628376,1.0,11.0
-2.672115,1.719118,-1.626699,0.290755,1.0,11.0
-3.277625,4.770184,0.319136,1.322532,1.0,11.0
0.027435,-0.0015199999999999,-0.14124,0.139181,5.0,18.0
0.028449,-0.008998,-0.140502,0.13589,5.0,18.0
0.0305019999999999,-0.018627,-0.1388069999999999,0.133968,5.0,18.0
0.019771,-0.0271329999999999,-0.135756,0.12712,5.0,18.0
0.0005,-0.027076,-0.133079,0.1220059999999999,5.0,18.0
1.525303,-4.80935,-0.1751059999999999,0.2424469999999999,0.0,0.0
1.717024,-6.689527,-0.160099,0.092269,0.0,0.0
-0.012293,-0.020657,-0.126808,0.115729,5.0,18.0
0.0889139999999999,3.966493,-0.2232199999999999,0.054626,0.0,0.0
4.7012160000000005,-1.800086,0.231658,-0.083509,0.0,22.0
4.9861,-1.7629669999999995,0.518048,-0.151473,0.0,22.0
-1.199849,4.673278,-0.14752,0.000208,0.0,0.0
-2.759911,4.465084,0.10156,0.392246,0.0,0.0
-0.010131,-0.01109,-0.123963,0.1142349999999999,5.0,18.0
0.001643,0.002696,-0.1214,0.115321,5.0,18.0
0.0187659999999999,0.016477,-0.11484,0.116704,5.0,18.0
0.639787,-0.004342,1.483313,-1.296738,1.0,11.0
0.70033,-1.159463,1.565721,-1.1553950000000002,1.0,11.0
0.1705539999999999,0.8819049999999999,-0.654976,1.084272,1.0,11.0
-2.377933,2.254611,-1.339985,0.896705,1.0,11.0
-2.95709,4.821591000000001,-0.590793,1.084584,1.0,11.0
0.016663,0.003701,-0.1214,0.1210359999999999,5.0,18.0
0.00919,-0.0037049999999999,-0.126058,0.123792,5.0,18.0
0.000692,-0.00295,-0.1027119999999999,0.07983,5.0,18.0
-1.241588,4.287545,-0.373922,-0.180882,0.0,0.0
-1.326026,4.170882,0.055133,-0.2934469999999999,0.0,0.0
-0.0047079999999999,-0.015353,-0.125116,0.122523,5.0,18.0
-0.022893,-0.028064,-0.125433,0.124195,5.0,18.0
4.257787,-2.356175,0.558254,-0.253169,0.0,22.0
-0.037838,-0.0312029999999999,-0.127148,0.125973,5.0,18.0
